,Time Interval,Pkts number,Avg pkts interval,Avg pkts size,Inbound pkts,Outbound pkts,In pkts interval,Out pkts interval,In pkts size,Out pkts size,Person
439,219.5s - 220.0s,150,0.0033341997333333324,1173.4733333333334,88,62,0.005522369103448063,0.007936198491803527,1238.8181818181818,1080.725806451613,1
440,220.0s - 220.5s,141,0.0035576343049645407,1162.1418439716313,85,56,0.005849125571428783,0.008932753600000027,1222.8823529411766,1069.9464285714287,1
441,220.5s - 221.0s,150,0.0033288528,1182.4866666666667,92,58,0.005389939450549451,0.008097418456140548,1233.0108695652175,1102.344827586207,1
442,221.0s - 221.5s,139,0.003602835848920861,1173.5395683453237,80,59,0.006083446126582013,0.008455407706896498,1251.825,1067.3898305084747,1
443,221.5s - 222.0s,146,0.0034261184109589046,1189.1575342465753,96,50,0.005163161084210575,0.00973196777551043,1222.0833333333333,1125.94,1
444,222.0s - 222.5s,145,0.003451435110344829,1118.5862068965516,78,67,0.006107475506493532,0.007273814318181873,1192.4358974358975,1032.6119402985075,1
445,222.5s - 223.0s,150,0.0032802520266666684,1184.9466666666667,91,59,0.005244013177777952,0.00759398389655187,1234.3186813186812,1108.7966101694915,1
446,223.0s - 223.5s,149,0.003349635241610738,1164.3154362416108,92,57,0.005377264274725123,0.008739757303571492,1216.3369565217392,1080.3508771929824,1
447,223.5s - 224.0s,140,0.0035834611357142853,1164.1,84,56,0.005917150409638373,0.0089376625090908,1228.6666666666667,1067.25,1
448,224.0s - 224.5s,152,0.003274847210526315,1205.6315789473683,87,65,0.005335822720930305,0.00765194270312497,1258.4137931034484,1134.9846153846154,1
449,224.5s - 225.0s,146,0.0034466577602739737,1185.4109589041095,90,56,0.00540493561797749,0.008932205036363815,1223.9,1123.5535714285713,1
450,225.0s - 225.5s,144,0.0034749738888888884,1180.1875,88,56,0.005402245873563518,0.008806111272727693,1241.6363636363637,1083.625,1
451,225.5s - 226.0s,152,0.0033087674276315784,1177.0526315789473,90,62,0.005396812134831264,0.008102310639344057,1218.4,1117.032258064516,1
452,226.0s - 226.5s,144,0.0034545953263888894,1157.298611111111,84,60,0.0059093410602408,0.007777155966101742,1224.202380952381,1063.6333333333334,1
